frame_id,time_sec,risk_level,risk_score,person_count,vehicle_count,min_distance_px,ttc_like_sec,closing_speed_px_per_frame,reason,screenshot_path
0,0.0,HIGH,55,11,14,118.6,,0.0,Pedestrian in main_crosswalk and vehicle close,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_0.jpg
61,2.03,HIGH,55,12,12,228.87,2.847,7.388,Pedestrian in main_crosswalk and elevated surrogate risk score,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_61.jpg
121,4.03,DANGER,75,11,10,98.41,2.427,1.512,"Pedestrian in main_crosswalk, vehicle approaching, and distance decreasing",/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/DANGER_yolo11s_frame_121.jpg
188,6.27,DANGER,100,11,14,84.17,0.579,4.847,Pedestrian in main_crosswalk and short TTC-like risk detected,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/DANGER_yolo11s_frame_188.jpg
248,8.27,DANGER,75,14,11,87.69,,0.0,Pedestrian in main_crosswalk and high surrogate risk score detected,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/DANGER_yolo11s_frame_248.jpg
317,10.57,HIGH,65,11,10,169.25,2.527,6.134,Pedestrian in secondary_crosswalk and vehicle in approach zone,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_317.jpg
379,12.63,HIGH,65,15,15,159.23,1.36,8.752,Pedestrian in secondary_crosswalk and elevated surrogate risk score,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_379.jpg
479,15.97,HIGH,65,8,15,238.87,1.111,9.779,Pedestrian in main_crosswalk and elevated surrogate risk score,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_479.jpg
539,17.97,HIGH,55,12,12,202.41,1.364,4.945,Pedestrian in secondary_crosswalk and elevated surrogate risk score,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_539.jpg
610,20.33,DANGER,100,11,12,67.68,0.136,16.574,Pedestrian in main_crosswalk and short TTC-like risk detected,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/DANGER_yolo11s_frame_610.jpg
670,22.33,HIGH,55,11,11,99.02,8.253,0.566,Pedestrian in main_crosswalk and vehicle in approach zone,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_670.jpg
730,24.33,DANGER,75,12,12,95.27,1.284,3.225,"Pedestrian in secondary_crosswalk, vehicle approaching, and distance decreasing",/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/DANGER_yolo11s_frame_730.jpg
790,26.33,HIGH,65,12,12,132.62,,0.0,Pedestrian in secondary_crosswalk and vehicle close,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_790.jpg
850,28.33,HIGH,65,8,11,113.18,12.459,0.303,Pedestrian in secondary_crosswalk and vehicle close,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_850.jpg
910,30.33,DANGER,95,7,14,92.8,0.745,4.154,Pedestrian in secondary_crosswalk and short TTC-like risk detected,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/DANGER_yolo11s_frame_910.jpg
970,32.33,DANGER,100,8,14,81.32,0.384,8.406,Pedestrian in secondary_crosswalk and short TTC-like risk detected,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/DANGER_yolo11s_frame_970.jpg
1030,34.33,DANGER,75,9,15,105.36,2.802,1.254,"Pedestrian in secondary_crosswalk, vehicle approaching, and distance decreasing",/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/DANGER_yolo11s_frame_1030.jpg
1091,36.37,DANGER,85,9,11,93.04,1.639,2.359,"Pedestrian in main_crosswalk, vehicle approaching, and distance decreasing",/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/DANGER_yolo11s_frame_1091.jpg
1151,38.37,HIGH,65,10,11,109.84,10.212,0.359,Pedestrian in main_crosswalk and vehicle close,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_1151.jpg
1214,40.47,HIGH,55,11,12,114.28,5.646,0.817,Pedestrian in main_crosswalk and vehicle close,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/HIGH_yolo11s_frame_1214.jpg
1274,42.47,DANGER,85,10,13,61.68,2.723,0.755,Pedestrian in main_crosswalk and vehicle critically close,/content/drive/MyDrive/cv_crosswalk_project/repo_backup/vision-based-crosswalk-risk-warning/outputs/screenshots/DANGER_yolo11s_frame_1274.jpg
