frame_id,time_sec,risk_level,risk_score,person_count,vehicle_count,min_distance_px,ttc_like_sec,closing_speed_px_per_frame,reason
0,0.0,HIGH,55,11,14,118.6,,0.0,Pedestrian in main_crosswalk and vehicle close
30,1.0,MEDIUM,45,13,13,151.38,8.042,1.875,Pedestrian in secondary_crosswalk with moderate surrogate risk score
60,2.0,MEDIUM,45,13,12,231.5,23.436,0.599,Pedestrian in secondary_crosswalk with moderate surrogate risk score
90,3.0,DANGER,85,11,12,60.67,0.552,9.487,Pedestrian in main_crosswalk and short TTC-like risk detected
120,4.0,DANGER,75,13,11,97.8,2.285,1.611,"Pedestrian in main_crosswalk, vehicle approaching, and distance decreasing"
150,5.0,HIGH,65,11,11,125.03,1.382,5.747,Pedestrian in secondary_crosswalk and vehicle in approach zone
180,6.0,HIGH,55,10,14,91.44,,0.0,Pedestrian in main_crosswalk and vehicle close
210,7.0,HIGH,55,10,15,122.43,,0.0,Pedestrian in secondary_crosswalk and vehicle close
240,8.0,DANGER,85,14,13,92.96,0.838,18.903,Pedestrian in secondary_crosswalk and short TTC-like risk detected
270,9.0,HIGH,65,11,13,114.39,,0.0,Pedestrian in main_crosswalk and vehicle close
300,10.0,HIGH,55,13,11,137.61,4.633,0.99,Pedestrian in secondary_crosswalk and vehicle close
330,11.0,DANGER,75,12,10,150.75,1.841,8.109,"Pedestrian in secondary_crosswalk, vehicle approaching, and distance decreasing"
360,12.0,MEDIUM,45,9,14,152.12,6.944,1.597,Pedestrian in main_crosswalk with moderate surrogate risk score
390,13.0,MEDIUM,45,12,14,167.0,,0.0,Pedestrian in secondary_crosswalk with moderate surrogate risk score
420,14.0,HIGH,65,10,14,157.04,1.485,4.198,Pedestrian in main_crosswalk and vehicle in approach zone
450,15.0,MEDIUM,45,8,13,257.15,142.476,0.163,Pedestrian in secondary_crosswalk with moderate surrogate risk score
480,16.0,MEDIUM,45,8,13,240.05,,0.0,Pedestrian in secondary_crosswalk with moderate surrogate risk score
510,17.0,HIGH,55,9,14,235.16,2.641,12.478,Pedestrian in secondary_crosswalk and elevated surrogate risk score
540,18.0,MEDIUM,45,12,12,202.41,,0.0,Pedestrian in secondary_crosswalk with moderate surrogate risk score
570,19.0,DANGER,100,13,13,67.01,0.207,10.779,Pedestrian in main_crosswalk and short TTC-like risk detected
600,20.0,MEDIUM,45,10,12,212.6,209.384,0.139,Pedestrian in secondary_crosswalk with moderate surrogate risk score
630,21.0,HIGH,65,13,10,66.29,,0.0,Pedestrian in main_crosswalk and vehicle close
660,22.0,HIGH,55,12,12,175.39,1.67,4.451,Pedestrian in secondary_crosswalk and elevated surrogate risk score
690,23.0,DANGER,85,11,12,77.67,1.527,1.696,"Pedestrian in main_crosswalk, vehicle approaching, and distance decreasing"
720,24.0,DANGER,95,12,13,78.75,0.821,3.529,Pedestrian in main_crosswalk and short TTC-like risk detected
750,25.0,HIGH,55,9,12,116.5,2.361,3.993,Pedestrian in secondary_crosswalk and vehicle in approach zone
780,26.0,HIGH,55,14,12,123.75,,0.0,Pedestrian in secondary_crosswalk and vehicle close
